1,1,"2025-06-10 10:00:00","2025-06-10 12:00:00",1
2,1,"2025-06-11 16:00:00","2025-06-11 18:00:00",1
3,1,"2025-06-15 10:00:00","2025-06-15 12:00:00",1
4,2,"2025-06-12 09:00:00","2025-06-12 14:00:00",1
5,2,"2025-06-19 09:00:00","2025-06-19 14:00:00",1
6,3,"2025-06-10 13:30:00","2025-06-10 15:30:00",1
7,3,"2025-06-10 20:30:00","2025-06-10 22:30:00",1
8,3,"2025-06-11 13:30:00","2025-06-11 15:30:00",1
9,3,"2025-06-11 20:30:00","2025-06-11 22:30:00",1
10,4,"2025-06-10 14:00:00","2025-06-11 12:00:00",1
11,4,"2025-06-15 14:00:00","2025-06-16 12:00:00",1
12,5,"2025-06-14 11:00:00","2025-06-14 13:00:00",1
13,5,"2025-06-21 11:00:00","2025-06-21 13:00:00",1
